name,direct_code,regular_code
CANARA ROBECO EQUITY HYBRID FUND OPTION,118272,106166
DSP GLOBAL CLEAN ENERGY OVERSEAS EQUITY OMNI FOF,119275,112126
DSP WORLD GOLD MINING OVERSEAS EQUITY OMNI FOF,119277,106597
DSP WORLD MINING OVERSEAS EQUITY OMNI FOF,119279,112293
SUNDARAM EQUITY HYBRID FUND,119542,100617
JPMORGAN INDIA EQUITY FUND OPTION,119867,105582
JPMORGAN GREATER CHINA EQUITY OFF-SHORE FUND OPTION,119872,112084
JPMORGAN EEMEA EQUITY OFF-SHORE FUND OPTION,119874,113394
JPMORGAN ASEAN EQUITY OFF-SHORE FUND OPTION,119878,115293
INVESCO INDIA PSU EQUITY FUND,120395,112171
UTI CHILDREN'S EQUITY FUND OPTION,120724,102267
JPMORGAN US VALUE EQUITY OFFSHORE FUND OPTION,123012,123011
INVESCO INDIA - INVESCO PAN EUROPEAN EQUITY FUND OF FUND OPTION,126353,126351
HDFC RAJIV GANDHI EQUITY SAVINGS SCHEME - SERIES 2 OPTION,126895,126894
LIC MF RAJIV GANDHI EQUITY SAVINGS SCHEME 2-,127899,127900
INVESCO INDIA - INVESCO GLOBAL EQUITY INCOME FUND OF FUND,129188,129187
JPMORGAN EMERGING MARKETS OPPORTUNITIES EQUITY OFFSHORE FUND OPTION,130268,130269
UTI FOCUSSED EQUITY FUND SERIES - 1 (2195 DAYS) OPTION,131019,131018
SBI EQUITY OPPORTUNITIES FUND - SERIES I,131338,131336
JPMORGAN INDIA EQUITY INCOME FUND OPTION,131412,131416
DSP 3 YEARS CLOSE ENDED EQUITY FUND (MATURITY DATE 4-JAN-2021),131484,131482
ADITYA BIRLA SUN LIFE FOCUSED EQUITY FUND - SERIES 3,131526,131527
ADITYA BIRLA SUN LIFE LATIN AMERICA EQUITY FUND OPTION,132120,132118
ADITYA BIRLA SUN LIFE EQUITY SAVINGS FUND,132995,132998
ADITYA BIRLA SUN LIFE FOCUSED EQUITY FUND - SERIES 4,133105,133102
SBI EQUITY OPPORTUNITIES FUND - SERIES II,133108,133106
ADITYA BIRLA SUN LIFE MANUFACTURING EQUITY FUND,133516,133513
HDFC FOCUSED EQUITY FUND OPTION,133529,133527
ADITYA BIRLA SUN LIFE FOCUSED EQUITY FUND - SERIES 5,133897,133896
HDFC FOCUSED EQUITY FUND - PLAN B OPTION,134334,134336
SBI EQUITY SAVINGS FUND,134643,134644
AXIS EQUITY SAVINGS FUND,135120,135122
DSP EQUITY SAVINGS FUND,136567,136563
EDELWEISS GREATER CHINA EQUITY OFF-SHORE FUND OPTION,140243,140242
EDELWEISS ASEAN EQUITY OFF-SHORE FUND OPTION,140256,140255
EDELWEISS US VALUE EQUITY OFFSHORE FUND OPTION,140274,140273
EDELWEISS EMERGING MARKETS OPPORTUNITIES EQUITY OFFSHORE FUND OPTION,140327,140328
EDELWEISS EQUITY SAVINGS FUND OPTION,140347,140351
AXIS EQUITY ADVANTAGE FUND - SERIES 1 OPTION,141369,141370
AXIS EQUITY ADVANTAGE FUND - SERIES 2 OPTION,141666,141667
UTI FOCUSSED EQUITY FUND - SERIES IV (1104 DAYS) OPTION,141827,141825
UTI FOCUSSED EQUITY FUND - SERIES V (1102 DAYS) OPTION,141987,141990
IDFC EQUITY OPPORTUNITY - SERIES 4 (1102 DAYS),142042,142039
UTI FOCUSSED EQUITY FUND - SERIES VI (1150 DAYS) OPTION,142284,142285
UNION EQUITY SAVINGS FUND OPTION,144312,144310
UTI EQUITY SAVINGS FUND OPTION,144490,144484
L&T FOCUSED EQUITY FUND OPTION,145376,145378
SUNDARAM EQUITY SAVINGS FUND,145478,145475
GROWW AGGRESSIVE HYBRID FUND (FORMERLY KNOWN AS INDIABULLS EQUITY HYBRID FUND) OPTION,145599,145605
INVESCO INDIA EQUITY SAVINGS FUND,146457,146456
SBI EQUITY MINIMUM VARIANCE FUND,146643,146644
BARODA BNP PARIBAS EQUITY SAVINGS FUND,147496,147494
SUNDARAM EQUITY FUND,147587,147584
AXIS GLOBAL EQUITY ALPHA FUND OF FUND OPTION,148485,148486
MIRAE ASSET DIVERSIFIED EQUITY ALLOCATOR PASSIVE FOF,148500,148502
NIPPON INDIA DIVERSIFIED EQUITY FLEXICAP PASSIVE FOF OPTION,148642,148641
KOTAK INTERNATIONAL REIT OVERSEAS EQUITY OMNI FOF,148646,148645
AXIS GREATER CHINA EQUITY FUND OF FUND OPTION,148699,148701
MIRAE ASSET GLOBAL ELECTRIC & AUTONOMOUS VEHICLES EQUITY PASSIVE FOF,150595,150594
AXIS NASDAQ 100 US SPECIFIC EQUITY PASSIVE FOF,150751,150750
UNION DIVERSIFIED EQUITY ALL CAP ACTIVE FOF OPTION,153824,153822
HDFC DIVERSIFIED EQUITY ALL CAP ACTIVE FOF PLAN,153860,153861
